Almont__Precip_mm_day,Almont__Evap_mm_day,Almont__Runoff_mm_day,Billy_Barr__Precip_mm_day,Billy_Barr__Evap_mm_day,Billy_Barr__Runoff_mm_day,Judd_Falls__Precip_mm_day,Judd_Falls__Evap_mm_day,Judd_Falls__Runoff_mm_day,Kettle_Ponds__Precip_mm_day,Kettle_Ponds__Evap_mm_day,Kettle_Ponds__Runoff_mm_day,Mexican_Cut__Precip_mm_day,Mexican_Cut__Evap_mm_day,Mexican_Cut__Runoff_mm_day,Snodgrass_Mountain__Precip_mm_day,Snodgrass_Mountain__Evap_mm_day,Snodgrass_Mountain__Runoff_mm_day,castnet_gothic__Precip_mm_day,castnet_gothic__Evap_mm_day,castnet_gothic__Runoff_mm_day,nrcs_1141__Precip_mm_day,nrcs_1141__Evap_mm_day,nrcs_1141__Runoff_mm_day,nrcs_380__Precip_mm_day,nrcs_380__Evap_mm_day,nrcs_380__Runoff_mm_day,nrcs_680__Precip_mm_day,nrcs_680__Evap_mm_day,nrcs_680__Runoff_mm_day,nrcs_737__Precip_mm_day,nrcs_737__Evap_mm_day,nrcs_737__Runoff_mm_day,wu_KCOCREST10__Precip_mm_day,wu_KCOCREST10__Evap_mm_day,wu_KCOCREST10__Runoff_mm_day,wu_KCOCREST4__Precip_mm_day,wu_KCOCREST4__Evap_mm_day,wu_KCOCREST4__Runoff_mm_day,wu_KCOCREST6__Precip_mm_day,wu_KCOCREST6__Evap_mm_day,wu_KCOCREST6__Runoff_mm_day,wu_KCOMTCRE2__Precip_mm_day,wu_KCOMTCRE2__Evap_mm_day,wu_KCOMTCRE2__Runoff_mm_day,wu_MRMEX__Precip_mm_day,wu_MRMEX__Evap_mm_day,wu_MRMEX__Runoff_mm_day,wu_MTAPC2__Precip_mm_day,wu_MTAPC2__Evap_mm_day,wu_MTAPC2__Runoff_mm_day,date
0.0,0.0,0.136575,0.0,0.343519,0.488816,0.0,0.332928,0.481249,0.0,0.057232,0.464823,0.0,0.21562,0.451205,0.0,0.029232,0.365402,0.0,0.332928,0.481249,0.0,0.023843,0.053723,0.0,0.001328,0.321627,0.756419,0.156897,0.002468,0.0,0.228832,0.512665,0.0,0.0,0.355757,0.0,0.0,0.08689,0.0,0.006805,0.321301,0.0,0.000142,0.105354,0.0,0.317372,0.565621,0.0,0.000208,0.122883,2014-01-24
0.0,0.0,0.136586,0.0,0.194246,0.485295,0.0,0.189079,0.477366,0.0,-0.000193,0.461163,0.0,0.244621,0.447704,0.0,0.053025,0.36355,0.0,0.189079,0.477366,0.0,0.043272,0.05392,0.0,0.017818,0.320301,1.297279,0.283211,0.002468,0.0,0.237536,0.508472,0.0,0.0,0.353878,0.0,0.0,0.087174,0.0,0.0,0.319916,0.0,-0.00069,0.105639,0.0,0.152998,0.561135,0.0,-0.006781,0.123076,2014-01-25
0.0,-0.001318,0.136591,0.0,0.072688,0.481816,0.0,0.056746,0.473533,0.0,-0.005927,0.45755,0.0,0.200414,0.444249,0.0,0.033669,0.361701,0.0,0.056746,0.473533,0.0,0.031681,0.054113,0.0,-0.005827,0.318973,0.530318,0.114742,0.002467,0.0,0.208471,0.504333,0.0,-0.002162,0.352007,0.0,-0.001371,0.087452,0.0,-0.001325,0.31853,0.0,-0.002377,0.105916,0.0,0.045275,0.556699,0.0,-0.033473,0.123263,2014-01-26
0.0,-0.014876,0.13659,0.610241,0.006882,0.478376,0.574294,-0.008191,0.46975,0.5867,-0.019501,0.453983,0.174096,0.168057,0.440841,0.690287,0.132026,0.359858,0.574294,-0.008191,0.46975,0.0,0.026753,0.054304,0.943153,0.003302,0.317644,0.224554,0.045917,0.002467,0.167714,0.169697,0.500248,0.765549,-0.018543,0.350146,0.66447,-0.015966,0.087725,0.69822,-0.01506,0.317146,0.836323,0.005142,0.106186,0.186758,0.006154,0.552311,0.569907,-0.041927,0.123442,2014-01-27
0.0,-0.005373,0.136585,0.636209,0.093519,0.474977,0.598732,0.087761,0.466016,0.611666,-0.005573,0.450461,0.181504,0.174471,0.437478,0.719661,0.221317,0.35802,0.598732,0.087761,0.466016,0.0,0.025464,0.054493,0.983287,0.034332,0.316315,0.234109,0.070899,0.002467,0.174851,0.18239,0.496216,0.798126,-0.003286,0.348294,0.692745,-0.005436,0.087991,0.727931,-0.005059,0.315762,0.871911,0.051427,0.106449,0.194705,0.097846,0.547972,0.594158,-0.012956,0.123613,2014-01-28
3.207795,-0.000248,0.136574,6.884106,0.137458,0.471618,6.594742,0.12491,0.46233,5.672851,0.007978,0.446984,3.916213,0.738436,0.43416,6.145994,0.933796,0.356187,6.594742,0.12491,0.46233,5.062711,0.806047,0.054678,3.186383,0.103902,0.314986,2.974019,0.496137,0.002466,4.091104,0.752291,0.492237,6.344687,-0.001541,0.346452,8.411359,-0.000831,0.088252,6.701863,-0.000937,0.31438,4.135475,0.14805,0.106704,4.021398,0.148521,0.543681,4.215856,-0.002974,0.123778,2014-01-29
9.207288,-0.021839,0.136558,27.579792,0.025249,0.468297,26.487118,0.019386,0.458692,22.089367,-0.017795,0.443551,24.964914,1.433922,0.430886,23.003021,1.342312,0.354362,26.487118,0.019386,0.458692,23.704458,1.683915,0.054861,19.14864,0.294776,0.313657,11.479169,1.312923,0.002466,24.768562,1.400488,0.488309,16.760027,-0.021916,0.344619,15.940619,-0.016814,0.088507,15.912232,-0.019127,0.313,18.220535,0.292813,0.106952,26.054941,0.047156,0.539439,14.385119,-0.025577,0.123936,2014-01-30
11.975471,-0.064136,0.136537,41.673691,0.17215,0.465015,40.058037,0.157828,0.455102,33.03854,0.165232,0.440161,42.652706,3.627456,0.427655,33.897182,2.950212,0.352542,40.058037,0.157828,0.455102,37.636723,3.217051,0.055042,32.326809,0.434442,0.312329,17.113728,1.659984,0.002465,41.879223,3.639542,0.484432,20.722425,-0.045816,0.342797,14.647822,-0.043678,0.088756,18.230162,-0.047786,0.311622,28.410042,0.420463,0.107194,44.655155,0.217185,0.535245,20.404833,-0.036976,0.124087,2014-01-31
4.683523,0.0,0.136511,10.018511,0.619584,0.46177,9.122277,0.621446,0.451558,7.088643,0.586512,0.436814,16.068913,3.696848,0.424467,8.14918,1.777358,0.35073,9.122277,0.621446,0.451558,7.333343,1.547443,0.055219,7.378625,0.512278,0.311002,5.424572,1.169027,0.002465,15.876067,3.673676,0.480605,8.170265,0.0,0.340985,8.740202,0.0,0.088999,7.797932,0.0,0.310247,6.782917,0.476828,0.107428,16.888702,0.569383,0.531098,5.577833,0.0,0.124231,2014-02-01
0.877877,0.0,0.13648,1.385615,0.366231,0.458564,1.243104,0.370518,0.448059,1.12615,0.323628,0.433509,1.561099,0.587557,0.421321,1.364946,0.322949,0.348925,1.243104,0.370518,0.448059,3.5958,0.835278,0.055394,1.306451,0.095155,0.309677,0.41133,0.091637,0.002464,1.363311,0.559626,0.476829,1.064664,0.0,0.339184,1.012597,0.0,0.089238,0.903823,0.0,0.308875,1.040483,0.07544,0.107656,1.748703,0.352617,0.527,0.545081,0.0,0.124368,2014-02-02
